hotel_id,hotel_name,country,city,hotel_type,star_rating,total_rooms,hotel_facilities,hotel_description,nearby_attractions,latitude,longitude,website,customer_id,first_name,last_name,full_name,email,phone,birth_date,gender,country_customer,city_customer,address,postal_code,language_preference,loyalty_level_customer,registration_date,marketing_consent,booking_id,booking_date,checkin_date,checkout_date,nights,adults,children,infants,room_type,rooms_booked,booking_channel,special_requests,is_cancelled,cancellation_date,cancellation_reason,total_price,room_price,tax_amount,service_fee,paid_amount,payment_status,payment_method,booking_source,promotion_code,discount_amount,created_timestamp,updated_timestamp,created_by,booking_status,review_id,review_rating,review_title,review_text,review_date,helpful_votes,is_verified_review,reviewer_location,stay_date,trip_type,room_type_reviewed,source_system,created_at,updated_at
H00602,"Lee, Stanley and Levine",Czech Republic,Ostrava,City Hotel,3,480,___,Ready major however true growth vote provide.,Historic Site,79.404344,12.910342,http://www.perez.org/,C0004911,Heather,James,Heather James,daniel41@example.com,+1-890-413-9491x3376,2023-13-01,F,Indonesia,Bandung,"01113 George Vista, Bandung",XK 40816,en,___,2024-05-19,False,BKG_000000001,2024-03-27,,2026-01-09,8,4,2,1,single,1,Agent,Late check-in,True,2025-04-01,Payment Failed,244.31,255.12,64.44,34.03,199.94,Pending,PayPal,Booking.com,NO_PROMO,13.83,2024-02-02 00:18:43,2025-01-09 18:45:37,USER,Confirmed,REV_00000001,3,Clear level carry serious.,,2025-09-01,99,True,Nitra,2024-12-18,Leisure,single,APIGateway,2024-02-02 00:18:43,2025-01-09 18:45:37
H00824,Smith-Martin,Bulgaria,Sofia,City Hotel,2,277,"Pool,Gym,Spa",Note several travel resource. Kid stage really chair truth study side. Upon blue know.,"Beach,Museum,Park",56.629613,163.857016,https://cook.info/,C0002018,Ashley,Gomez,Ashley Gomez,,(956)938-9098x4724,1958-12-28,F,Turkey,Istanbul,"6696 Carrie Village Suite 224, Istanbul",IK 68925,en,SILVER,2025-05-08, True ,BKG_000000002,2024-05-11,2025-12-26,2025-12-29,3,1,2,0,double,3,Web,No requests,False...,2024-12-17,Customer Request,625.27,967.54,99.06,70.27,127.52,Paid,Debit Card,Airbnb,NO_PROMO,159.16,2024-07-27 22:06:20,2025-02-28 17:57:34,API,Confirmed,REV_00000002,5,Involve class tax allow according.,"Impact chance bring service on hard.
Base cause tell space man number offer. Position whole detail maybe cover less both exactly.",2024-04-05,27,False,Buenos Aires,2025-07-26,Solo,suite,LegacySystem,2024-07-27 22:06:20,2025-02-28 17:57:34
H00016,"Carter, Garcia and Owens",Peru,Arequipa,Budget Hotel,4,487,"Pool,Gym,Spa",Join best after. Friend whole our call walk.,Historic Site,59.862591,-161.907982,http://www.benson-chandler.com/,C0004718,Sarah,Mcdowell,Sarah Mcdowell,bakerkevin@example.net,,1949-05-08,Other,Turkey,Ankara,???,NX 87506,tr,Gold,2024-09-08,   ,BKG_000000003,2024-04-09,2026-08-24,2026-08-29,5,1,0,0,single,3,Agent,No requests,True,2024-11-12,Payment Failed,579.47,375.39,271.79,87.33,296.18,Refunded,Debit Card,Expedia,,136.87,2025-06-28 01:47:25,2025-10-27 10:46:17,SYSTEM,Confirmed,REV_00000003,3,Pm quickly social out decade brother lot.,Fast song not family person. Leave case return.,2025-02-28,16,True,Rotterdam,2025-07-25,Leisure,double,APIGateway,2025-06-28 01:47:25,2025-10-27 10:46:17
H00515,"Johnson, Nichols and Gonzalez",Australia,Brisbane,Business Hotel,3,291,Restaurant,Federal court how threat exist director. Fish opportunity kitchen him suffer cover.,"Beach,Museum,Park",-27.982903,18.125071,http://www.payne-mendoza.com/,C0000299,Marie,Taylor,Marie Taylor,george34@example.net,+1-844-518-0894,2002-08-18,F,Nigeria,--,"7603 Sellers Crossing, Kano",GV 17463,tr,,2024-08-11,False,BKG_000000004,2024-11-26,2026-10-29,2026-11-04,6,4,0,2,double,1,Web,   ,True,2025-10-20,Payment Failed,634.02,172.2,248.93,3.7,211.44,Refunded,Debit Card,,,183.82,2025-05-31 08:57:09,2024-11-25 12:20:50,API,Cancelled,REV_00000004,4,Newspaper friend big drop many design war stay.,Picture gun quickly past road voice. Dark about dinner.,2025-03-28,99,True,La Plata,2025-09-07,Family,suite,APIGateway,2025-05-31 08:57:09,2024-11-25 12:20:50
H00155,Smith-Johnson,Argentina,Buenos Aires,Budget Hotel,5,28,Restaurant,Way former system toward pressure every despite.,Historic Site,-42.242223,-169.756443,,C0004904,Daniel,Roach,Daniel Roach,kristinfox@example.net,(364)593-6935,1950-05-06, Other ,Thailand,Phuket...,"4778 Green Pine Suite 038, Phuket",GB 29469,tr,Gold,2025-03-29,False,BKG_000000005,2024-07-03,2025-10-14,2025-10-21,7,4,1,2,single,3,Agent,Late check-in,True,2025-05-28,Hotel Closed,596.56,827.36,71.86,16.64,214.11,Pending,PayPal,TravelAgency,NO_PROMO,170.34,2023-11-28 19:28:51,2025-01-20 07:39:54,AGENT,Confirmed,REV_00000005,2,Season film half car.,___,2024-06-17,17,True,Quebec City,2025-10-09,Couple,single,apigateway,2023-11-28 19:28:51,2025-01-20 07:39:54
H00052,"Jackson, Jackson and Keller",Romania,Cluj-Napoca,Business Hotel,2,208,"Pool,Gym,Spa",Should difficult because fly wish compare discussion.,"Beach,Museum,Park",-66.894491,116.924356,https://mcclain.com/,C0002781,Mark,Wells,Mark Wells,tsmith@example.org,+1-742-716-4277x98793,1992-11-14,M,Japan,Hiroshima,"4889 Joshua Park, Hiroshima",,tr,Bronze,2024-05-04,False,BKG_000000006,2024-01-03,2025-01-28,2025-02-09,12,4,1,0,double,3,Phone,Extra bed,True,2025-10-06,Hotel Closed,1998.67,1395.34,218.64,94.0,505.81,Refunded,PayPal,TravelAgency,,142.73,2025-08-25 23:51:20,2024-12-26 13:46:30,API,Cancelled,REV_00000006,2,None scene report sound area owner even.,"Along garden north American film. Keep maybe little throw save picture half.
Family people project sport I inside a. Information money become.",2023-12-06,55,True,Bucharest,2025-07-10,Business,suite, LegacySystem ,2025-08-25 23:51:20,2024-12-26 13:46:30
H00618,Brown-Robinson,Italy,Venice,Resort,2,390," Pool,Gym,Spa ",Value wait goal something other nation must. Hotel own available collection statement.,"Beach,Museum,Park",-86.195559,-168.734873,https://www.martin.org/,C0004657,Chad,Barker,,jwalton@example.org,822.665.5297x0416,2006-01-09,F,Canada,Quebec City,"0749 MATTHEW BURG APT. 600, QUEBEC CITY",BF 73571,fr,Bronze,2024-08-19,False,BKG_000000007,2025-01-02,2026-03-10,2026-03-20,10,4,2,1,single,2,Phone,Late check-in,True,2025-09-16,,1076.03,842.12,247.91,38.44,592.97,Pending,Credit Card,Expedia,NO_PROMO,199.88,2024-09-27 19:03:21,2025-06-17 09:30:02,API,Confirmed,REV_00000007,2,Mother lay raise not analysis hear.,Worker growth your environmental small care of. Their score shoulder international. Resource south candidate deal will baby sure thank.,2025-10-15,95,True,Liverpool,2024-11-22,Leisure,single,CloudBooking,2024-09-27 19:03:21,2025-06-17 09:30:02
H00338,"Sloan, Myers and Johnson",Nigeria,Kano,Resort,3,417,"Pool,Gym,Spa",Job cell already official forward. Card article matter expert result.,Shopping Mall,23.115986,-63.651705,https://www.rivera.org/,C0004638,Andrea,Mccall,Andrea Mccall,jenniferirwin@example.net,717-700-6307x30960,1986-12-10,Other,Malaysia,Johor Bahru,"01296 Leah Forges, Johor Bahru",ED 16433,tr,Platinum,2023-04-26,False,BKG_000000008,2024-09-18,2026-07-18,2026-07-22,4,3,3,2,single,Five,Mobile App,No requests,True,2025-06-18,Customer Request,1469.21,1386.92,64.73,,1186.83,Refunded,Cash,TravelAgency,PROMO682,124.61,2024-10-24 18:59:49,2025-06-02 04:07:56,AGENT,Confirmed,REV_00000008,4,Consider course stock five.,"History house decision.
Agency total evening our sit discover wear. Local issue would top.",2024-09-25,79,True,Bergen,2025-06-13,Family,double,CloudBooking,2024-10-24 18:59:49,2025-06-02 04:07:56
H00137,Porter-Singleton,Peru,Arequipa,Resort,2,91,Restaurant,!!Power interesting opportunity election. Authority benefit them guess ball.,"Beach,Museum,Park",66.113203,-164.283556,http://smith-carr.com/,C0001118,Caitlin,Miller,Caitlin Miller,justin82@example.net, (286)344-4548x09144 ,1974-09-11  ,M,Australia,Sydney,"365 Perez Harbors, Sydney",LE 16091,,Platinum,"Jan 32, 2025",True,BKG_000000009,2025-01-25,2024-11-13,2024-11-21,8,3,2,0,double,1,Mobile App,No requests,False,,,241.35,950.36,283.77,32.8,113.02,Pending,PayPal,Expedia,,0,2024-09-15 05:23:03,2025-07-25 00:40:20,AGENT,Confirmed,REV_00000009,1,Suddenly artist story name bar six environmental quickly.,Could forget front. Support trade nature everything voice. Old free but seem safe hear share.,2025-04-16,19,False,Cairo,2024-12-11,Business,single,CloudBooking,2024-09-15 05:23:03,2025-07-25 00:40:20
H00093,Black LLC,China,Guangzhou,City Hotel,5,261,___,Their chair language school offer every back. Event hit democratic will. At goal establish.,Historic Site,18.941486,109.307927,http://walker.com/,C0000100,Zachary,Smith,Zachary Smith,riverajames@example.net,302.707.9263x223,1959-02-09,Other,Austria,Salzburg,"622 Morrison Garden Suite 928, Salzburg",UF 20018,en,Silver,2025-06-19,True,BKG_000000010,2025-05-09,2025-06-11,2025-06-17,6,3,1,2,double,1,Phone,No requests,False,,,165.54,303.4,208.33,58.54,9999,Refunded,Credit Card,Booking.com,NO_PROMO,5.18,2025-09-12 16:58:35,2025-04-04 10:37:45,USER,Pending,REV_00000010,3,Man green eye reason character modern.,Side teacher rest see eat might nature. Figure song statement laugh anyone sometimes similar.,2025-04-24,77,False,The hague,2025-08-30,Leisure,suite,--,2025-09-12 16:58:35,2025-04-04 10:37:45
